Id	Site	Grid.10km	Expansion	ID	RegScore1
PA_32_MW_03_D_calibrated	MW	NH69	Scotland	PA_32_MW_03_D_calibrated	-0.004648881433482834
PA_32_MW_04_D_calibrated	MW	NH69	Scotland	PA_32_MW_04_D_calibrated	0.004701696752436804
PA_32_MW_05_D_calibrated	MW	NH69	Scotland	PA_32_MW_05_D_calibrated	0.026275183754484358
PA_32_MW_06_D_calibrated	MW	NH69	Scotland	PA_32_MW_06_D_calibrated	0.01115583319799141
PA_32_MW_07_D_calibrated	MW	NH69	Scotland	PA_32_MW_07_D_calibrated	-0.0033168342659537524
PA_32_MW_08_D_calibrated	MW	NH69	Scotland	PA_32_MW_08_D_calibrated	0.008514826358249149
PA_32_MW_09_D_calibrated	MW	NH69	Scotland	PA_32_MW_09_D_calibrated	0.0017257154360643622
PA_32_MW_10_D_calibrated	MW	NH69	Scotland	PA_32_MW_10_D_calibrated	-0.003774051050648163
PA_32_MW_11_D_calibrated	MW	NH69	Scotland	PA_32_MW_11_D_calibrated	0.006791849469304096
PA_32_MW_12_D_calibrated	MW	NH69	Scotland	PA_32_MW_12_D_calibrated	0.011604303765112848
PA_32_MW_13_D_calibrated	MW	NH69	Scotland	PA_32_MW_13_D_calibrated	0.017830136067789482
PA_32_MW_14_D_calibrated	MW	NH69	Scotland	PA_32_MW_14_D_calibrated	-0.003358640378822389
PA_32_MW_15_D_calibrated	MW	NH69	Scotland	PA_32_MW_15_D_calibrated	0.0027207075995769776
PA_32_MW_16_D_calibrated	MW	NH69	Scotland	PA_32_MW_16_D_calibrated	0.0032341609448730607
PA_32_MW_17_D_calibrated	MW	NH69	Scotland	PA_32_MW_17_D_calibrated	0.009418859137764336
PA_32_MW_18_D_calibrated	MW	NH69	Scotland	PA_32_MW_18_D_calibrated	-0.0010437700481468254
PA_32_MW_19_D_calibrated	MW	NH69	Scotland	PA_32_MW_19_D_calibrated	0.02651672376477734
PA_32_MW_20_D_calibrated	MW	NH69	Scotland	PA_32_MW_20_D_calibrated	0.004819206413549472
C19M2_D_RF_calibrated	CS_CarvCopse	SU13	England	C19M2_D_RF_calibrated	0.008526062430731247
C19M3_D_calibrated	CS_CarvCopse	SU13	England	C19M3_D_calibrated	0.03340942293351801
C19M4_D_calibrated	CS_CarvCopse	SU13	England	C19M4_D_calibrated	0.027047166298301693
C19M5_D_calibrated	CS_CarvCopse	SU13	England	C19M5_D_calibrated	0.019662084136859468
C19M6_D_calibrated	CS_CarvCopse	SU13	England	C19M6_D_calibrated	0.0038793545362820806
C19M7_D_RF_calibrated	CS_CarvCopse	SU13	England	C19M7_D_RF_calibrated	0.0016791073196998057
C19M8_D_calibrated	CS_CarvCopse	SU13	England	C19M8_D_calibrated	-0.006983330693286211
C19M9_D_calibrated	CS_CarvCopse	SU13	England	C19M9_D_calibrated	0.02541549148416595
C19M10_D_calibrated	CS_CarvCopse	SU13	England	C19M10_D_calibrated	-0.002341884066161056
C19M11_D_RF_calibrated	CS_CarvCopse	SU13	England	C19M11_D_RF_calibrated	-0.007619550515521153
C19M12_D_RF_calibrated	CS_CarvCopse	SU13	England	C19M12_D_RF_calibrated	0.016690121553304963
C19M13_D_calibrated	CS_CarvCopse	SU13	England	C19M13_D_calibrated	-0.0012326775056931715
C19M14_D_RF_calibrated	CS_CarvCopse	SU13	England	C19M14_D_RF_calibrated	0.005657686540600339
C19M15_D_calibrated	CS_CarvCopse	SU13	England	C19M15_D_calibrated	-0.021958781618562122
