 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
423,EN19M33_D_calibrated.png:brown,239265,60.93,24.17,13,209,504.88,695.04,738.93,412.27,132.80,849.24,14578660.00,14578660.00,250,357,135.24,480.08
424,EN19M34_D_calibrated.png:wing,264975,87.33,49.61,13,250,464.49,684.58,778.46,433.39,126.71,858.15,23139470.00,23139470.00,261,310,125.80,484.26
425,EN19M34_D_calibrated.png:cream,40380,182.36,31.24,53,250,432.69,667.93,280.92,183.02,96.26,845.65,7363502.00,7363502.00,279,303,124.01,467.04
426,EN19M34_D_calibrated.png:brown,224595,70.24,28.50,13,213,479.32,692.35,737.12,387.95,128.55,858.15,15775968.00,15775968.00,261,310,125.80,484.26
427,EN19M35_D_calibrated.png:wing,247739,89.54,42.53,13,219,457.37,674.52,728.88,432.76,128.71,811.63,22181777.00,22181777.00,270,332,129.75,466.22
428,EN19M35_D_calibrated.png:cream,39123,172.60,28.37,77,219,439.38,656.26,256.28,194.37,110.41,790.49,6752484.00,6752484.00,281,330,125.32,451.96
429,EN19M35_D_calibrated.png:brown,208616,73.96,21.47,13,189,465.24,682.51,681.64,389.68,129.65,811.63,15429293.00,15429293.00,270,332,129.75,466.22
430,EN19M36_D_calibrated.png:wing,232042,87.06,48.26,12,241,476.27,632.69,714.43,413.54,127.58,800.42,20200959.00,20200959.00,299,304,129.12,445.41
431,EN19M36_D_calibrated.png:cream,39798,178.25,30.38,70,241,454.81,603.69,259.04,195.62,118.19,789.35,7094165.00,7094165.00,300,305,129.96,436.28
432,EN19M36_D_calibrated.png:brown,192244,68.18,23.29,12,203,487.89,648.39,660.24,370.74,128.17,800.42,13106794.00,13106794.00,299,304,129.12,445.41
433,EN19M37_D_calibrated.png:wing,234212,77.84,43.52,12,245,494.28,711.48,695.56,428.73,129.84,750.15,18229996.00,18229996.00,306,367,130.78,463.01
434,EN19M37_D_calibrated.png:cream,28417,173.53,30.69,70,245,488.41,682.21,224.26,161.34,105.88,718.02,4931201.00,4931201.00,247,451,138.05,456.91
435,EN19M37_D_calibrated.png:brown,205795,64.62,24.22,12,208,496.46,722.34,660.18,396.90,131.01,750.15,13298795.00,13298795.00,306,367,130.78,463.01
436,EN19M38_D_calibrated.png:wing,246989,87.15,42.67,16,232,691.49,639.99,717.12,438.53,133.28,808.48,21524029.00,21524029.00,490,325,133.55,471.77
437,EN19M38_D_calibrated.png:cream,30705,177.64,26.51,75,232,674.87,612.24,217.71,179.57,102.76,799.75,5454489.00,5454489.00,497,323,132.57,463.42
438,EN19M38_D_calibrated.png:brown,216284,74.30,25.52,16,212,697.12,649.41,683.34,402.99,134.10,808.48,16069540.00,16069540.00,490,325,133.55,471.77
439,EN19M39_D_calibrated.png:wing,237055,83.79,40.55,12,238,460.59,644.39,688.48,438.39,128.18,812.78,19862523.00,19862523.00,281,307,129.96,474.35
440,EN19M39_D_calibrated.png:cream,26102,175.06,29.06,80,238,440.58,604.69,193.11,172.10,99.28,746.68,4569476.00,4569476.00,258,332,130.71,466.29
441,EN19M39_D_calibrated.png:brown,210953,72.50,24.18,12,221,466.57,656.25,659.35,407.36,128.83,812.78,15293047.00,15293047.00,281,307,129.96,474.35
442,EN19M3_D_calibrated.png:wing,237845,72.43,41.04,12,246,483.33,684.45,708.97,427.15,130.68,768.20,17226143.00,17226143.00,286,364,127.06,464.28
443,EN19M3_D_calibrated.png:cream,30118,159.91,29.64,69,246,478.47,646.00,210.23,182.41,115.78,754.80,4816318.00,4816318.00,273,377,133.34,454.10
444,EN19M3_D_calibrated.png:brown,207727,59.74,23.03,12,206,485.22,699.39,677.04,390.65,131.29,768.20,12409825.00,12409825.00,286,364,127.06,464.28
445,EN19M40_D_calibrated.png:wing,278780,67.73,45.40,10,239,739.10,670.18,791.07,448.70,44.21,884.11,18882843.00,18882843.00,368,921,40.83,513.30
446,EN19M40_D_calibrated.png:cream,30711,177.07,31.11,68,239,775.33,604.83,244.75,159.77,48.58,860.24,5438072.00,5438072.00,369,919,37.44,500.48
447,EN19M40_D_calibrated.png:brown,248069,54.20,23.09,10,201,724.39,696.65,749.92,421.18,43.66,884.11,13444771.00,13444771.00,368,921,40.83,513.30
448,EN19M4_D_calibrated.png:wing,260356,107.42,39.32,22,229,677.88,639.17,754.31,439.47,134.99,822.10,27968453.00,27968453.00,460,326,136.87,478.89
449,EN19M4_D_calibrated.png:cream,33563,183.91,24.89,99,229,665.27,594.65,231.87,184.30,130.28,807.52,6172671.00,6172671.00,464,327,135.00,473.71
450,EN19M4_D_calibrated.png:brown,226793,96.10,26.25,22,209,681.47,651.78,715.59,403.53,135.68,822.10,21795782.00,21795782.00,460,326,136.87,478.89
451,EN19M5_D_calibrated.png:wing,266686,116.64,46.47,17,250,436.90,691.80,732.66,463.46,134.50,793.50,31106517.00,31106517.00,225,394,136.02,493.77
452,EN19M5_D_calibrated.png:cream,59610,185.59,28.16,59,250,407.76,660.81,328.45,231.08,104.67,788.00,11063152.00,11063152.00,252,373,133.46,485.92
453,EN19M5_D_calibrated.png:brown,207076,96.79,28.12,17,233,452.98,708.90,657.71,400.87,137.30,793.50,20043365.00,20043365.00,225,394,136.02,493.77
454,EN19M7_D_calibrated.png:wing,244808,94.94,44.94,16,236,719.57,688.41,715.67,435.54,131.51,795.49,23241126.00,23241126.00,536,340,127.75,468.80
455,EN19M7_D_calibrated.png:cream,36213,180.98,28.58,88,236,713.13,671.42,237.53,194.11,112.70,772.95,6553692.00,6553692.00,537,343,128.01,462.36
456,EN19M7_D_calibrated.png:brown,208595,80.00,26.84,16,192,722.09,695.08,675.35,393.26,132.34,795.49,16687434.00,16687434.00,536,340,127.75,468.80
457,EN19M8_D_calibrated.png:wing,267229,63.56,34.27,13,225,438.59,680.37,744.15,457.23,132.15,825.35,16984179.00,16984179.00,227,340,133.87,486.37
458,EN19M8_D_calibrated.png:cream,24713,152.55,25.07,60,225,406.42,644.45,196.52,160.11,103.23,812.53,3769956.00,3769956.00,236,338,132.51,474.13
459,EN19M8_D_calibrated.png:brown,242516,54.49,18.46,13,180,447.80,690.65,715.66,431.46,132.64,825.35,13214223.00,13214223.00,227,340,133.87,486.37
460,EN19M9_D_calibrated.png:wing,247996,83.35,48.65,14,248,507.83,690.72,720.15,438.46,129.00,749.83,20671641.00,20671641.00,349,337,119.13,466.39
461,EN19M9_D_calibrated.png:cream,39026,175.46,30.61,64,248,505.59,667.83,261.57,189.97,122.44,744.95,6847344.00,6847344.00,316,365,130.32,460.20
462,EN19M9_D_calibrated.png:brown,208970,66.15,27.45,14,215,508.95,702.07,670.67,396.72,129.54,749.83,13824297.00,13824297.00,349,337,119.13,466.39
463,ENM10_D_calibrated.png:wing,253579,98.72,44.27,13,235,689.99,673.23,713.67,452.40,126.87,762.48,25032709.00,25032709.00,509,346,133.62,477.00
464,ENM10_D_calibrated.png:cream,40094,181.73,26.96,80,235,680.36,652.67,247.99,205.85,126.59,737.03,7286265.00,7286265.00,552,317,119.42,473.14
465,ENM10_D_calibrated.png:brown,213485,83.13,25.58,13,201,693.94,681.66,665.30,408.57,126.88,762.48,17746444.00,17746444.00,509,346,133.62,477.00
466,ENM11_D_calibrated.png:wing,295638,64.36,40.78,12,220,714.43,701.50,783.15,480.65,134.63,858.11,19027166.00,19027166.00,515,325,127.80,516.76
467,ENM11_D_calibrated.png:cream,28516,169.18,32.98,69,220,693.70,653.06,218.88,165.88,121.72,846.00,4824268.00,4824268.00,522,323,126.73,510.49
468,ENM11_D_calibrated.png:brown,267122,53.17,20.65,12,175,721.50,717.97,750.57,453.14,135.19,858.11,14202898.00,14202898.00,515,325,127.80,516.76
469,ENM12_D_calibrated.png:wing,290438,90.51,44.42,18,242,651.83,669.90,771.53,479.31,134.70,836.34,26288641.00,26288641.00,414,355,140.14,505.34
470,ENM12_D_calibrated.png:cream,38201,183.41,28.47,82,242,627.72,650.78,250.84,193.90,98.73,824.70,7006329.00,7006329.00,432,340,137.70,485.38
471,ENM12_D_calibrated.png:brown,252237,76.45,25.38,18,208,660.60,676.84,734.25,437.40,135.89,836.34,19282312.00,19282312.00,414,355,140.14,505.34
472,ENM13_D_calibrated.png:wing,288208,84.65,46.16,12,245,453.09,626.48,789.09,465.04,128.36,866.79,24396383.00,24396383.00,222,291,132.90,509.16
473,ENM13_D_calibrated.png:cream,44837,174.04,31.20,62,245,449.22,582.60,278.23,205.18,131.11,845.43,7803262.00,7803262.00,245,284,131.21,501.40
474,ENM13_D_calibrated.png:brown,243371,68.18,24.51,12,194,454.93,647.12,736.66,420.64,128.59,866.79,16593121.00,16593121.00,222,291,132.90,509.16
475,ENM14_D_calibrated.png:wing,299413,78.10,47.45,10,233,664.06,657.24,803.44,474.49,135.86,880.41,23384585.00,23384585.00,413,311,137.39,518.58
476,ENM14_D_calibrated.png:cream,38977,181.96,29.59,81,233,643.20,626.07,250.49,198.12,121.31,858.08,7092300.00,7092300.00,416,314,133.35,509.50
477,ENM14_D_calibrated.png:brown,260436,62.56,24.52,10,198,673.14,670.81,759.73,436.47,136.37,880.41,16292285.00,16292285.00,413,311,137.39,518.58
478,ENM15_D_calibrated.png:wing,299717,77.09,48.63,12,245,482.48,688.90,786.31,485.32,132.65,870.69,23105612.00,23105612.00,249,342,133.65,513.33
479,ENM15_D_calibrated.png:cream,43351,178.01,31.10,76,245,465.56,657.83,263.10,209.79,128.84,832.19,7716966.00,7716966.00,237,359,137.24,500.31
480,ENM15_D_calibrated.png:brown,256366,60.03,24.25,12,207,490.96,704.49,736.37,443.28,132.90,870.69,15388646.00,15388646.00,249,342,133.65,513.33
481,ENM16_D_calibrated.png:wing,302698,73.04,38.72,11,246,440.54,675.66,799.35,482.15,133.23,859.24,22109240.00,22109240.00,211,348,135.90,513.64
482,ENM16_D_calibrated.png:cream,30150,167.36,28.51,60,246,421.19,611.31,233.51,164.40,121.45,847.14,5045965.00,5045965.00,211,353,135.48,479.12
483,ENM16_D_calibrated.png:brown,272548,62.61,21.96,11,195,446.26,694.67,762.66,455.01,134.20,859.24,17063275.00,17063275.00,211,348,135.90,513.64
484,ENM17_D_calibrated.png:wing,266561,74.89,42.96,10,235,445.95,661.81,739.81,458.76,134.79,791.06,19962142.00,19962142.00,208,331,129.20,498.99
