 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
33,C19M20_V_calibrated.png:edge3rd,88962,106.85,27.95,35,204,523.95,216.18,90.73,560.91,9505644.00,9505644.00,474.36,757.67,89.01,232.63
34,C19M20_V_calibrated.png:mid3rd,117968,140.36,27.58,40,217,576.35,260.61,90.77,568.98,16557494.00,16557494.00,483.00,757.26,85.43,233.00
35,C19M20_V_calibrated.png:bot3rd,56565,140.51,24.22,42,210,352.97,204.04,100.28,426.86,7947948.00,7947948.00,716.49,265.20,90.14,232.79
36,C19M20_V_calibrated.png:whole_wing,262936,129.06,31.36,35,217,636.00,526.38,169.38,697.45,33933395.00,33933395.00,251.37,496.62,0.46,548.07
37,C19M21_V_calibrated.png:edge3rd,84590,112.25,21.74,51,190,501.93,214.58,92.30,524.02,9495012.00,9495012.00,434.35,236.89,94.85,225.41
38,C19M21_V_calibrated.png:mid3rd,105346,138.55,22.20,47,207,547.83,244.84,85.66,548.72,14595555.00,14595555.00,479.00,758.65,65.73,226.00
39,C19M21_V_calibrated.png:bot3rd,62497,128.32,28.27,33,209,375.48,211.92,91.44,404.49,8019619.00,8019619.00,709.39,257.35,94.60,225.77
40,C19M21_V_calibrated.png:whole_wing,251546,127.17,26.30,33,209,645.05,496.52,12.16,675.20,31989101.00,31989101.00,254.59,443.68,179.56,521.28
41,C19M22_V_calibrated.png:edge3rd,69845,125.66,23.77,37,196,452.81,196.39,92.91,475.31,8777071.00,8777071.00,413.62,271.97,97.64,214.08
42,C19M22_V_calibrated.png:mid3rd,95207,145.87,21.05,52,210,518.15,233.95,85.86,524.45,13887588.00,13887588.00,476.78,743.07,66.00,215.00
43,C19M22_V_calibrated.png:bot3rd,56100,132.32,27.88,36,201,347.40,205.61,89.94,419.49,7422991.00,7422991.00,690.92,671.21,75.98,214.54
44,C19M22_V_calibrated.png:whole_wing,220686,136.03,25.41,36,210,616.46,455.81,18.65,641.63,30019408.00,30019408.00,262.92,464.08,0.32,479.17
45,C19M23_V_calibrated.png:edge3rd,74677,114.25,29.78,40,197,471.54,201.64,93.98,505.84,8532212.00,8532212.00,397.45,254.78,97.84,219.75
46,C19M23_V_calibrated.png:mid3rd,105039,147.53,24.84,46,213,546.65,244.66,87.23,543.43,15496899.00,15496899.00,478.35,753.93,66.37,220.00
47,C19M23_V_calibrated.png:bot3rd,55529,139.30,26.36,42,203,353.45,200.03,91.61,434.31,7735258.00,7735258.00,698.36,682.46,78.57,219.17
48,C19M23_V_calibrated.png:whole_wing,235245,135.03,30.53,40,213,612.87,488.72,15.19,658.92,31764369.00,31764369.00,258.25,472.75,0.15,507.10
49,C19M24_V_calibrated.png:edge3rd,81449,122.48,24.46,46,204,482.00,215.15,93.71,517.78,9976097.00,9976097.00,409.86,255.20,96.59,225.01
50,C19M24_V_calibrated.png:mid3rd,112535,146.75,23.24,38,213,569.36,251.66,86.93,570.99,16514800.00,16514800.00,473.75,770.06,66.98,226.00
51,C19M24_V_calibrated.png:bot3rd,65753,133.00,29.51,35,202,388.84,215.31,88.61,457.08,8745304.00,8745304.00,697.21,692.20,76.82,225.74
52,C19M24_V_calibrated.png:whole_wing,259738,135.66,27.41,35,213,656.64,503.64,18.27,676.75,35236275.00,35236275.00,245.99,467.14,0.24,523.41
53,C19M25_V_calibrated.png:edge3rd,79809,117.60,25.10,48,209,483.46,210.19,91.33,516.38,9385515.00,9385515.00,466.95,221.99,91.38,219.79
54,C19M25_V_calibrated.png:mid3rd,99146,146.69,23.12,34,209,514.86,245.19,88.66,513.71,14543784.00,14543784.00,480.00,737.61,89.88,220.00
55,C19M25_V_calibrated.png:bot3rd,58923,140.66,28.14,44,203,356.07,210.70,92.11,393.02,8288236.00,8288236.00,700.00,285.69,90.01,219.25
56,C19M25_V_calibrated.png:whole_wing,237365,135.42,28.24,34,209,631.47,478.61,178.79,658.05,32144436.00,32144436.00,261.21,501.36,0.09,500.88
57,C19M27_V_calibrated.png:edge3rd,79940,144.60,21.88,50,227,479.94,212.08,89.92,523.69,11559677.00,11559677.00,389.17,750.82,89.32,218.42
58,C19M27_V_calibrated.png:mid3rd,97019,140.23,22.42,46,234,510.41,242.02,86.90,522.86,13604649.00,13604649.00,396.79,227.24,90.57,219.00
59,C19M27_V_calibrated.png:bot3rd,63452,120.45,33.26,29,228,372.46,216.91,90.65,408.89,7642736.00,7642736.00,615.00,690.12,89.82,218.46
60,C19M27_V_calibrated.png:whole_wing,240411,136.46,27.37,29,234,643.16,475.93,5.73,655.89,32807062.00,32807062.00,177.58,518.81,0.34,513.51
61,C19M28_V_calibrated.png:edge3rd,73024,112.36,27.52,39,201,470.59,197.58,91.11,503.23,8204726.00,8204726.00,467.87,734.79,89.50,213.63
62,C19M28_V_calibrated.png:mid3rd,92422,140.79,24.39,40,207,493.84,238.29,88.54,499.27,13012520.00,13012520.00,479.28,233.36,90.17,214.00
63,C19M28_V_calibrated.png:bot3rd,57656,132.60,29.48,36,197,350.70,209.33,89.57,380.94,7645163.00,7645163.00,692.11,671.48,89.98,213.46
64,C19M28_V_calibrated.png:whole_wing,223102,129.37,29.50,36,207,615.34,461.64,3.41,641.11,28862409.00,28862409.00,264.37,496.83,0.48,489.71
65,C19M29_V_calibrated.png:edge3rd,83431,114.75,30.21,41,199,496.32,214.03,92.27,533.88,9573988.00,9573988.00,315.54,249.60,97.62,230.56
66,C19M29_V_calibrated.png:mid3rd,118590,139.89,24.73,53,203,586.42,257.48,87.00,586.21,16589841.00,16589841.00,386.33,778.76,66.92,231.00
67,C19M29_V_calibrated.png:bot3rd,68136,129.31,28.68,32,214,401.18,216.25,89.71,477.38,8810673.00,8810673.00,617.11,703.49,77.90,230.04
68,C19M29_V_calibrated.png:whole_wing,269633,129.46,29.54,32,214,662.79,517.97,20.38,690.60,34906776.00,34906776.00,156.44,469.04,179.94,545.18
69,C19M2_V_calibrated.png:edge3rd,71092,152.91,24.55,51,233,483.52,187.20,89.03,516.91,10870957.00,10870957.00,418.14,241.94,96.39,215.60
70,C19M2_V_calibrated.png:mid3rd,100859,169.34,23.76,53,236,552.89,232.26,85.97,543.75,17079168.00,17079168.00,476.00,755.25,66.68,216.00
71,C19M2_V_calibrated.png:bot3rd,57023,164.90,25.79,57,243,360.43,201.44,92.19,401.07,9402849.00,9402849.00,697.32,253.12,94.48,215.40
72,C19M2_V_calibrated.png:whole_wing,228466,163.10,25.53,51,243,603.99,481.62,24.76,645.00,37262696.00,37262696.00,261.40,468.87,179.90,524.73
73,C19M30_V_calibrated.png:edge3rd,74174,116.41,24.73,44,200,461.39,204.69,92.81,497.45,8634366.00,8634366.00,414.62,256.57,97.25,219.36
74,C19M30_V_calibrated.png:mid3rd,103359,141.68,26.21,42,206,543.50,242.14,86.13,540.77,14644162.00,14644162.00,477.40,750.05,66.33,220.00
