 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
74,C19M2_D_calibrated.png:mid3rd,99109,117.19,43.84,41,246,452.42,278.92,89.14,456.17,11615005.00,11615005.00,466.38,693.11,59.51,253.00
75,C19M2_D_calibrated.png:bot3rd,50070,117.84,24.61,46,246,278.70,228.74,52.01,344.39,5900202.00,5900202.00,213.83,616.42,43.17,252.29
76,C19M2_D_calibrated.png:whole_wing,219448,111.13,39.62,26,246,702.51,397.73,177.32,757.29,24386390.00,24386390.00,212.71,608.69,179.52,438.21
77,C19M30_D_calibrated.png:edge3rd,68803,71.08,36.80,16,220,367.29,238.51,106.68,414.15,4890525.00,4890525.00,686.00,383.97,118.85,256.29
78,C19M30_D_calibrated.png:mid3rd,104762,85.76,43.96,30,223,468.13,284.94,89.21,459.02,8983974.00,8983974.00,582.33,341.98,103.10,257.00
79,C19M30_D_calibrated.png:bot3rd,49233,85.43,25.40,30,235,288.51,217.27,61.11,354.62,4206004.00,4206004.00,176.30,668.89,44.09,256.41
80,C19M30_D_calibrated.png:whole_wing,222062,81.11,38.89,16,235,689.42,410.11,177.39,767.71,18011711.00,18011711.00,174.59,660.46,179.94,448.72
81,C19M31_D_calibrated.png:edge3rd,70492,67.71,29.31,20,202,386.39,232.29,105.99,432.23,4773125.00,4773125.00,682.00,375.75,116.70,251.10
82,C19M31_D_calibrated.png:mid3rd,102887,87.59,33.91,36,203,467.78,280.05,89.14,455.88,9011991.00,9011991.00,430.00,755.37,56.68,252.00
83,C19M31_D_calibrated.png:bot3rd,49639,87.22,16.81,42,174,294.50,214.61,66.24,357.75,4329422.00,4329422.00,181.73,677.87,45.83,251.17
84,C19M31_D_calibrated.png:whole_wing,222685,81.21,30.83,20,203,683.70,414.70,176.19,753.29,18084261.00,18084261.00,179.83,672.35,0.48,443.03
85,C19M32_D_calibrated.png:edge3rd,69686,79.34,35.12,17,218,385.84,229.96,106.64,431.49,5528935.00,5528935.00,687.00,376.36,117.09,250.68
86,C19M32_D_calibrated.png:mid3rd,100760,90.23,43.34,32,233,460.62,278.52,89.63,454.37,9091530.00,9091530.00,585.07,348.33,102.90,251.00
