 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
52,C19M29_D_calibrated.png:wing,239619,91.24,35.14,17,240,439.70,673.30,739.91,412.34,128.49,799.34,21862834,21862834,238,329,132.11,439.32
53,C19M29_D_calibrated.png:cream,19124,181.26,25.90,91,240,424.48,622.94,184.94,131.66,116.67,768.42,3466330.00,3466330.00,232,341,131.78,427.38
54,C19M29_D_calibrated.png:brown,239619,76.77,31.47,0,220,442.57,682.78,739.91,412.34,128.49,799.34,18396504,18396504,238,329,132.11,439.32
55,C19M2_D_calibrated.png:wing,216705,116.38,40.33,25,249,727.60,743.28,699.08,394.69,129.26,755.13,25220007,25220007,540,420,131.56,435.13
56,C19M2_D_calibrated.png:cream,23072,199.89,24.07,115,249,718.06,724.74,198.72,147.83,129.40,717.51,4611823,4611823,500,488,138.33,410.72
57,C19M2_D_calibrated.png:brown,216705,95.10,42.56,0,230,729.74,747.43,699.08,394.69,129.26,755.13,20608184,20608184,540,420,131.56,435.13
58,C19M30_D_calibrated.png:wing,219168,84.90,39.93,17,244,453.29,700.77,685.55,407.05,130.37,765.56,18608292,18608292,251,384,132.99,443.16
59,C19M30_D_calibrated.png:cream,22960,177.44,29.49,86,244,443.00,689.78,218.59,133.74,115.50,752.14,4074025,4074025,261,382,131.77,430.94
60,C19M30_D_calibrated.png:brown,219168,66.32,31.88,0,199,456.18,703.85,685.55,407.05,130.37,765.56,14534267,14534267,251,384,132.99,443.16
61,C19M31_D_calibrated.png:wing,219867,85.52,32.42,21,210,475.84,703.90,679.38,412.05,126.13,750.47,18803153,18803153,297,375,130.46,439.46
62,C19M31_D_calibrated.png:cream,20003,163.26,24.00,89,210,454.51,689.90,178.38,142.77,91.34,711.83,3265687,3265687,316,370,124.87,429.56
63,C19M31_D_calibrated.png:brown,219867,70.67,29.89,0,195,480.32,706.84,679.38,412.05,126.13,750.47,15537466,15537466,297,375,130.46,439.46
