 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
217,CCM31_D_calibrated.png:edge3rd,78323,77.60,33.81,24,208,495.57,201.23,90.30,515.16,6077819.00,6077819.00,416.98,745.36,83.48,220.33
218,CCM31_D_calibrated.png:mid3rd,106521,84.85,32.76,36,210,551.76,245.81,88.01,530.16,9037901.00,9037901.00,477.00,234.39,97.35,221.00
219,CCM31_D_calibrated.png:bot3rd,60489,92.47,28.31,27,214,365.39,210.78,92.49,410.42,5593465.00,5593465.00,697.00,261.44,90.28,220.85
220,CCM31_D_calibrated.png:whole_wing,244427,84.43,32.57,24,214,621.66,500.62,8.83,660.19,20637798.00,20637798.00,257.67,523.28,179.89,518.52
221,CCM32_D_calibrated.png:edge3rd,0,NaN,0.00,NaN,NaN,0.00,0.00,0.00,4.12,NaN,NaN,-227.97,416.42,66.04,1.00
222,CCM32_D_calibrated.png:mid3rd,71171,99.74,28.33,24,192,531.48,170.50,90.89,572.40,7098280.00,7098280.00,350.73,772.10,84.08,179.83
223,CCM32_D_calibrated.png:bot3rd,145246,85.98,36.71,22,248,578.83,319.49,82.97,623.77,12488480.00,12488480.00,481.12,824.48,86.02,325.89
224,CCM32_D_calibrated.png:whole_wing,216417,90.50,34.79,22,248,575.20,479.05,81.44,977.67,19586760.00,19586760.00,-228.76,415.80,179.56,605.00
225,CCM33_D_calibrated.png:edge3rd,74763,72.45,30.33,19,210,472.12,201.63,87.11,510.33,5416284.00,5416284.00,416.53,711.36,87.19,221.91
226,CCM33_D_calibrated.png:mid3rd,106976,79.39,27.83,22,194,549.96,247.66,92.63,545.64,8492298.00,8492298.00,475.54,205.75,113.52,222.00
227,CCM33_D_calibrated.png:bot3rd,61131,94.21,33.25,28,208,400.74,194.23,94.77,443.81,5759016.00,5759016.00,694.94,275.75,105.18,221.10
228,CCM33_D_calibrated.png:whole_wing,241948,81.00,31.16,19,210,620.87,496.17,162.18,663.01,19596631.00,19596631.00,252.09,488.18,179.95,510.14
229,CCM34_D_calibrated.png:edge3rd,85966,96.09,32.55,26,205,511.11,214.15,88.16,534.15,8260078.00,8260078.00,414.06,730.20,83.34,230.33
230,CCM34_D_calibrated.png:mid3rd,114057,108.19,28.71,44,213,564.50,257.26,92.52,564.40,12339273.00,12339273.00,476.53,199.35,113.71,231.00
231,CCM34_D_calibrated.png:bot3rd,63596,115.52,37.72,32,231,384.11,210.81,90.77,452.91,7346714.00,7346714.00,707.92,272.32,103.77,230.52
